Артикул;Номенклатура;Тип;Ед;Дополнительное описание номенклатуры;Картинка;Цена
;Navigator-650 MD 27.5" (новая модель);товар;шт;21-ск., рама AL (16"/17.5"/19.5"/21.5") аморт. вилка XCT SR SUNTOUR, SHIMANO ST-EF65/FD-M191/RD-M360/CS-HG41, двойной AL обод WEINMANN, механические дисковые тормоза TEKTRO NOVELA, пл. крылья;;23030
;Navigator-650 V 26".14;товар;шт;21-ск., рама AL (15.5/17.5/19.5/21.5"), аморт. вилка XCT SR SUNTOUR, SHIMANO ST-EF51/FD-TX51/RD-M360, кассета DNP, двойные AL обода, AL тормоза V-типа TEKTRO, пл. крылья;;18240
;Navigator-650 V 26" (новый дизайн);товар;шт;21-ск., рама AL (15.5"/17.5"/19.5"/21.5") аморт. вилка XCM SR SUNTOUR, SHIMANO ST-EF51/FD-TX51/RD-M360/CS-HG41, двойной AL обод WEINMANN, тормоза V-типа TEKTRO, пл. крылья;;19775
;Navigator-670 MD 26";товар;шт;21-ск., рама AL (17"/19"/21") аморт. вилка XCT SR SUNTOUR, SHIMANO ST-EF51/FD-M190/RD-M360/CS-HG41, двойной AL обод WEINMANN, механические дисковые тормоза TEKTRO NOVELA, пл.крылья;;23835
;Navigator-690 MD 26";товар;шт;24-ск., рама AL (17"/19"/21") аморт. вилка XCM SR SUNTOUR, SHIMANO ST-EF65/FD-M360/RD-M360/CS-HG41, двойной AL обод WEINMANN, механические дисковыые тормоза TEKTRO AQUILA, пл.крылья;;27085
;Navigator-690 V 26".13;товар;шт;24-ск., рама AL (16.0/18.0"), аморт. вилка XCM SR SUNTOUR, SHIMANO ST-EF51/FD-TX51/RD-M360, кассета DNP, двойные AL обода, AL тормоза V-типа TEKTRO, пл. крылья;;20720
;Navigator-710 MD 27.5".14;товар;шт;'21-ск., рама AL (17.5/19.5/21.0"), аморт. вилка XCT SR SUNTOUR, SHIMANO ST-EF51/FD-TX51/RD-TX35/MF-TZ21,
мех. дисковые тормоза TEKTRO, двойные AL обода WEINMANN, покрышки CHAOYANG, пл. Крылья';;23970
;Navigator-710 MD 27.5" (новый дизайн);товар;шт;21-ск., рама ALX6 (17"/19"/21") аморт. вилка XCT SR SUNTOUR, SHIMANO ST-EF51/FD-TX51/RD-TX35D/MF-TZ21, двойной AL обод WEINMANN, механические дисковые тормоза NOVELLA TEKTRO, пл. крылья;;28030
;Navigator-730 MD 26".13;товар;шт;21-ск., рама AL (17.5/19.5/21.5"), аморт. вилка XCМ SR SUNTOUR, SHIMANO ST-EF51/FD-TX51/RD-M310/MF-TZ21, двойные AL обода WEINMANN, мех. дисковые тормоза TEKTRO, пл. крылья;;23300
;Navigator-730 MD 27,5".14 ;товар;шт;21-ск., рама AL (17.5/19.5/21.5"), аморт. вилка XCМ SR SUNTOUR, SHIMANO ST-EF51/FD-TX51/RD-M310/MF-TZ21, двойные AL обода WEINMANN, мех. дисковые тормоза TEKTRO, пл. крылья;;24790
;Navigator-730 MD 27.5" (новый дизайн);товар;шт;21ск., рама ALX6 (17"/19"/21") аморт. вилка XCM SR SUNTOUR, SHIMANO ST-EF51/FD-TX51/RD-M310/CS-HG20, двойной AL обод WEINMANN, механические дисковые тормоза NOVELLA TEKTRO, пл. крылья;;30340
;Navigator-730 V 26".13;товар;шт;21-ск., рама AL (17.5/19.5/21.5"), аморт. вилка XCМ SR SUNTOUR, SHIMANO ST-EF51/FD-TX51/RD-M310/MF-TZ21, двойные AL обода WEINMANN, AL тормоза V-типа TEKTRO, пл. крылья;;21935
;Navigator-750 MD 26".13 ;товар;шт;21-ск., рама AL (17.5/19.5/21.5"), аморт. вилка XCМ SR SUNTOUR, SHIMANO ST-EF51/FD-TX51/RD-M360, кассета DNP, двойные AL обода ALEX, мех. дисковые тормоза Aquila TEKTRO, пл. крылья;;21400
;Navigator-750 MD 27,5".14 ;товар;шт;21-ск., рама AL (17.3/19.3/21"), аморт. вилка XCМ SR SUNTOUR, SHIMANO ST-EF51/FD-TX51/RD-M360, кассета DNP, двойные AL обода ALEX, мех. дисковые тормоза Aquila TEKTRO, пл. крылья;;29790
;Navigator-750 MD 27.5";товар;шт;24-ск., рама ALX6 (17"/19"/21") аморт. вилка XCM SR SUNTOUR, SHIMANO SL-M360/FD-TX51/RD-M360/CS-HG41, двойной AL обод WEINMANN, механические дисковые тормоза AQUILLA TEKTRO, пл. крылья;;31420
;Navigator-750 V 26".13;товар;шт;21-ск., рама AL (17.5/19.5/21.5"), аморт. вилка XCМ SR SUNTOUR, SHIMANO ST-EF51/FD-TX51/RD-M360, кассета DNP, двойные AL обода ALEX, AL тормоза V-типа TEKTRO, пл. крылья;;18695
